Maturity,Coupon,Bid,Asked,Chg,Asked Yield
8/15/2042,2.75,93.8281,93.8594,-0.5391,3.1
11/15/2042,2.75,93.75,93.7813,-0.5156,3.102
2/15/2043,3.125,100.5156,100.5469,-0.5391,3.094
5/15/2043,2.875,95.9141,95.9453,-0.5156,3.102
8/15/2043,3.625,109.875,109.9063,-0.6172,3.076
11/15/2043,3.75,112.3047,112.3359,-0.6172,3.071
2/15/2044,3.625,109.8359,109.8672,-0.6172,3.084
5/15/2044,3.375,105.1328,105.1641,-0.6016,3.093
8/15/2044,3.125,100.3516,100.3828,-0.5781,3.104
11/15/2044,3,97.9297,97.9609,-0.5391,3.11
2/15/2045,2.5,88.3203,88.3516,-0.5078,3.127
5/15/2045,3,97.7734,97.8047,-0.5859,3.117
8/15/2045,2.875,95.3672,95.3984,-0.5234,3.12
11/15/2045,3,97.7422,97.7734,-0.5078,3.118
2/15/2046,2.5,88.0234,88.0547,-0.4766,3.129
5/15/2046,2.5,87.9375,87.9688,-0.5234,3.131
8/15/2046,2.25,83.1016,83.1328,-0.4922,3.129
11/15/2046,2.875,95.3984,95.4297,-0.5625,3.112
