PERMNO,date,TICKER,PRC,SHROUT
70536,20130731,SIAL,83.56000,120239
70536,20130830,SIAL,82.47000,120239
70536,20130930,SIAL,85.30000,119666
70536,20131031,SIAL,86.43000,119666
70536,20131129,SIAL,86.24000,119666
70536,20131231,SIAL,94.01000,119666
75418,20130131,VOD,27.32000,984867
75418,20130228,VOD,25.14000,984867
75418,20130328,VOD,28.40000,999107
75418,20130430,VOD,30.59000,999107
75418,20130531,VOD,28.96000,999107
75418,20130628,VOD,28.74500,999107
75418,20130731,VOD,29.94500,1007278
75418,20130830,VOD,32.35000,1007278
75418,20130930,VOD,35.18000,1007278
75418,20131031,VOD,36.85500,987483
75418,20131129,VOD,37.09000,987483
75418,20131231,VOD,39.31000,987483
75489,20130131,SPLS,13.48500,673882
75489,20130228,SPLS,13.17000,669183
75489,20130328,SPLS,13.42000,668351
75489,20130430,SPLS,13.23000,668500
75489,20130531,SPLS,15.00500,663915
75489,20130628,SPLS,15.87000,663915
75489,20130731,SPLS,17.02000,663915
75489,20130830,SPLS,13.91000,660494
75489,20130930,SPLS,14.65000,660494
75489,20131031,SPLS,16.12900,660494
75489,20131129,SPLS,15.53000,653676
75489,20131231,SPLS,15.89000,653676
75510,20130131,ADBE,37.83000,498791
75510,20130228,ADBE,39.31000,501548
75510,20130328,ADBE,43.51500,501936
75510,20130430,ADBE,45.08000,501936
75510,20130531,ADBE,42.91000,503052
75510,20130628,ADBE,45.56000,502261
75510,20130731,ADBE,47.28000,502261
75510,20130830,ADBE,45.75000,501806
75510,20130930,ADBE,51.94000,499887
75510,20131031,ADBE,54.22000,499887
75510,20131129,ADBE,56.78000,499887
75510,20131231,ADBE,59.87900,499887
75577,20130131,ALTR,33.42000,319752
75577,20130228,ALTR,35.43000,319752
75577,20130328,ALTR,35.46000,320140
75577,20130430,ALTR,32.01000,320140
75577,20130531,ALTR,33.22000,320140
75577,20130628,ALTR,32.99000,319580
75577,20130731,ALTR,35.56000,319472
75577,20130830,ALTR,35.17000,319472
75577,20130930,ALTR,37.16000,321105
75577,20131031,ALTR,33.60500,321129
75577,20131129,ALTR,32.25000,321129
75577,20131231,ALTR,32.51100,321129
75607,20130131,SYMC,21.77000,689189
75607,20130228,SYMC,23.44000,689189
75607,20130328,SYMC,24.68000,698380
75607,20130430,SYMC,24.30000,696635
75607,20130531,SYMC,22.39000,696635
75607,20130628,SYMC,22.48000,698622
75607,20130731,SYMC,26.68000,698622
75607,20130830,SYMC,25.61000,699399
75607,20130930,SYMC,24.75000,696032
75607,20131031,SYMC,22.75500,696032
75607,20131129,SYMC,22.49000,696032
75607,20131231,SYMC,23.58000,696032
76076,20130131,CSCO,20.57000,5323000
76076,20130228,CSCO,20.85500,5331974
76076,20130328,CSCO,20.89500,5331974
